,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1791,143534126,31/07/2017,within an hour,100%,100%,1,1,"['email', 'phone']",Maxvorstadt,48.15121,11.56359,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Coffee maker"", ""Dryer"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Ethernet connection"", ""Portable air conditioning"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Patio or balcony"", ""Paid parking off premises"", ""Exercise equipment: free weights, yoga mat"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Fast wifi \u2013 451 Mbps"", ""Books and reading material"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Baking sheet"", ""HDTV with Amazon Prime Video, Disney+, Netflix"", ""Paid washer \u2013 In building"", ""Kitchen"", ""Body soap""]",$261.00,2,60,3.0,60.0,t,17,47,77,167,58,2,0,31/07/2019,29/07/2024,4.67,4.84,4.62,4.91,5.0,4.91,4.5,f,1,1,0,0,0.92
1792,585378,13/05/2011,within an hour,100%,100%,1,1,"['email', 'phone']",Neuhausen-Nymphenburg,48.15955443,11.54682896,Entire rental unit,Entire home/apt,2,2.0,2 baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Stove"", ""Fire extinguisher"", ""TV"", ""Washer"", ""Iron"", ""Cooking basics"", ""Hair dryer"", ""Pets allowed"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Gym"", ""Kitchen"", ""Wifi""]",$114.00,2,45,2.0,45.0,t,6,7,17,17,12,11,1,24/09/2023,01/09/2024,4.83,5.0,4.83,5.0,5.0,4.75,4.67,f,1,1,0,0,0.98
1800,12858343,06/03/2014,within an hour,100%,100%,2,2,"['email', 'phone', 'work_email']",Schwabing-Freimann,48.16963,11.58608,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Outdoor furniture"", ""Heating"", ""Fast wifi \u2013 159 Mbps"", ""Coffee maker: french press, Nespresso"", ""Park view"", ""Dishes and silverware"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Ethernet connection"", ""Exercise equipment: free weights"", ""Sound system"", ""Free residential garage on premises \u2013 1 space"", ""Amica electric stove"", ""Iron"", ""Garden view"", ""Mini golf"", ""Freezer"", ""Private gym in building"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""65 inch HDTV with standard cable"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill: gas"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Shower gel"", ""Fire pit"", ""City skyline view"", ""Essentials"", ""Dishwasher"", ""Game console: Nintendo Wii"", ""Coffee"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Barbecue utensils"", ""Private patio or balcony"", ""Board games"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Body soap""]",$450.00,2,40,2.0,1125.0,t,16,41,51,106,11,1,0,28/09/2019,19/08/2024,4.73,4.91,4.45,5.0,5.0,5.0,4.36,t,1,1,0,0,0.18
1803,115508212,08/02/2017,within an hour,100%,81%,2,2,"['email', 'phone', 'work_email']",Laim,48.13372,11.50625,Entire townhouse,Entire home/apt,12,2.5,2.5 baths,5.0,6.0,"[""BBQ grill"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Sound system with Bluetooth and aux"", ""Outdoor playground"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""Dedicated workspace"", ""Sun loungers"", ""Exercise equipment"", ""Pack \u2019n play/Travel crib - available upon request"", ""Microwave"", ""Iron"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Private gym in building"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Pets allowed"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Shampoo"", ""Books and reading material"", ""Refrigerator"", ""Smoke alarm"", ""Baking sheet"", ""Game console"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""65 inch HDTV with Amazon Prime Video, Fire TV, Netflix"", ""Private patio or balcony"", ""Fast wifi \u2013 305 Mbps"", ""Private hot tub - available all year, open 24 hours"", ""Board games"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Clothing storage: closet and wardrobe"", ""Outdoor dining area"", ""Kitchen"", ""Body soap"", ""Private outdoor pool - available all year, open 24 hours, heated, pool cover"", ""Toaster""]",$975.00,3,1125,3.0,1125.0,t,2,2,2,14,43,2,0,28/09/2019,04/10/2023,4.77,4.86,4.74,4.86,4.81,4.72,4.35,f,1,1,0,0,0.71
1805,275071045,10/07/2019,within an hour,100%,89%,1,5,"['email', 'phone']",Aubing-Lochhausen-Langwied,48.13674,11.43604,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Free parking on premises"", ""Coffee maker"", ""HDTV with Amazon Prime Video"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""Iron"", ""Free street parking"", ""Private entrance"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Exterior security cameras on property"", ""Noise decibel monitors on property""]",$139.00,1,1125,1.0,1125.0,t,4,10,32,256,23,2,0,01/08/2019,23/10/2023,4.91,4.96,4.91,4.96,4.96,4.74,4.74,t,1,1,0,0,0.37
1807,143957321,02/08/2017,within an hour,100%,100%,1,1,"['email', 'phone']",Obergiesing,48.11233,11.5842,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,4.0,"[""Smoke alarm"", ""Central heating"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Oven"", ""Hair dryer"", ""Dryer"", ""Lockbox"", ""Essentials"", ""Kitchen"", ""Dishes and silverware"", ""Dishwasher"", ""Wifi"", ""Self check-in"", ""Stove"", ""Refrigerator""]",$180.00,5,30,5.0,1125.0,t,0,2,2,10,21,6,1,02/08/2019,01/09/2024,5.0,5.0,5.0,4.95,5.0,4.9,4.95,t,1,1,0,0,0.33
1811,145399686,10/08/2017,within a few hours,83%,91%,1,2,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.14046,11.5488,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Heating"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Backyard"", ""Host greets you"", ""Elevator"", ""Dedicated workspace"", ""Fire extinguisher"", ""TV"", ""Washer"", ""Exercise equipment"", ""EV charger"", ""Iron"", ""Garden view"", ""Bathtub"", ""Hot water"", ""Private hot tub"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Changing table"", ""Smoke alarm"", ""Paid parking on premises"", ""Board games"", ""Kitchen"", ""Wifi""]",$130.00,9,14,4.0,14.0,t,5,5,5,5,17,13,0,17/09/2023,18/08/2024,4.82,4.94,4.94,4.82,4.88,4.88,4.81,f,1,1,0,0,1.36
1812,5353871,06/03/2013,within a few hours,100%,100%,1,1,"['email', 'phone']",Au-Haidhausen,48.12751,11.59231,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Siemens  refrigerator"", ""Heating"", ""Hot water kettle"", ""Dryer"", ""Dishes and silverware"", ""Stove"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Cleaning products"", ""Hangers"", ""Ethernet connection"", ""Bluetooth sound system"", ""Microwave"", ""50 inch HDTV with Amazon Prime Video, Disney+, standard cable, Netflix, Chromecast"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Room-darkening shades"", ""Shared backyard \u2013 Fully fenced"", ""Paid parking off premises"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Paid parking garage on premises \u2013 1 space"", ""City skyline view"", ""Essentials"", ""Drying rack for clothing"", ""Shampoo"", ""Smoke alarm"", ""Fast wifi \u2013 224 Mbps"", ""Private patio or balcony"", ""Paid washer \u2013 In building"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Body soap"", ""Toaster""]",$350.00,2,730,2.0,730.0,t,26,56,86,266,8,2,0,10/09/2021,23/06/2024,5.0,5.0,5.0,5.0,5.0,5.0,4.88,f,1,1,0,0,0.22
1816,207352466,04/08/2018,within a few hours,88%,95%,1,1,"['email', 'phone']",Obergiesing,48.11521,11.58851,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"[""Luggage dropoff allowed"", ""Private backyard"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Lockbox"", ""Courtyard view"", ""Self check-in"", ""Dishes and silverware"", ""55 inch HDTV with Amazon Prime Video, Fire TV, Netflix, premium cable, standard cable"", ""Host greets you"", ""Portable fans"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Ethernet connection"", ""Stainless steel electric stove"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Standard  body soap"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Window guards"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoking allowed"", ""Smoke alarm"", ""Barbecue utensils"", ""Pocket wifi"", ""Private patio or balcony"", ""Dining table"", ""Ceiling fan"", ""Kitchen"", ""Wifi"", ""Toaster""]",$91.00,2,360,1.0,360.0,t,20,40,69,159,68,16,1,27/09/2019,01/09/2024,4.34,4.72,4.31,4.72,4.71,4.53,4.16,f,1,1,0,0,1.12
1817,130433278,15/05/2017,within an hour,100%,100%,10,15,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.13833,11.55323,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,3.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""TV"", ""Fire extinguisher"", ""Microwave"", ""Iron"", ""Air conditioning"", ""Freezer"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Essentials"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking lot on premises \u2013 2 spaces"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$700.00,1,365,1.4,339.0,t,22,52,78,78,13,5,0,28/09/2019,27/05/2024,4.08,4.08,4.23,4.31,4.46,4.54,3.54,t,10,10,0,0,0.21
1820,224496711,06/11/2018,within a day,90%,50%,2,5,['phone'],Feldmoching-Hasenbergl,48.20463,11.53736,Entire home,Entire home/apt,10,5.0,5 baths,7.0,10.0,"[""Heating"", ""Free parking on premises"", ""Children\u2019s books and toys"", ""Lockbox"", ""Self check-in"", ""Crib"", ""Backyard"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Indoor fireplace"", ""Private entrance"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Hot tub - available seasonally, open specific hours"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Drying rack for clothing"", ""Shampoo"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$950.00,3,1125,3.0,1125.0,t,20,46,76,136,13,0,0,26/12/2021,10/12/2022,4.38,4.38,4.23,4.77,4.77,4.23,4.46,f,2,2,0,0,0.39
1821,278463018,23/07/2019,within an hour,100%,84%,3,3,"['email', 'phone']",Au-Haidhausen,48.1242,11.58958,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Single level home"", ""Lockbox"", ""Courtyard view"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Microwave"", ""Freezer"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Refrigerator"", ""Smoke alarm"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Toaster""]",$87.00,2,1125,1.9,1125.0,t,2,2,2,4,37,13,1,23/02/2020,01/09/2024,4.89,5.0,4.86,4.97,4.95,4.76,4.86,f,1,0,1,0,0.66
1823,4897731,29/01/2013,within a day,60%,51%,1,1,['phone'],Ludwigsvorstadt-Isarvorstadt,48.12969,11.56909,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Hangers"", ""Washer"", ""Iron"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Kitchen"", ""Wifi"", ""Breakfast""]",$183.00,2,5,2.0,5.0,t,0,0,10,10,56,19,2,23/09/2019,10/09/2024,4.84,4.88,4.77,4.91,4.98,4.96,4.71,f,1,1,0,0,0.92
1825,222159766,23/10/2018,within an hour,100%,99%,4,5,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.1356,11.5613,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Hangers"", ""Washer"", ""Microwave"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""TV with standard cable"", ""Essentials"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Exterior security cameras on property""]",$313.00,3,1125,3.0,1125.0,t,6,6,6,6,45,20,0,29/11/2019,04/07/2024,4.69,4.84,4.76,4.91,4.91,4.56,4.56,t,3,3,0,0,0.77
1827,24399217,02/12/2014,within an hour,100%,40%,1,2,"['email', 'phone']",Schwabing-West,48.1628,11.5697,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Washer"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Free street parking"", ""Paid parking off premises"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Toaster""]",$70.00,5,16,5.0,16.0,t,3,3,3,3,24,1,1,29/09/2019,20/09/2024,4.83,4.92,4.71,5.0,4.92,4.96,4.71,f,1,1,0,0,0.39
1831,24825588,14/12/2014,within a day,100%,97%,1,1,"['email', 'phone']",Ramersdorf-Perlach,48.09948,11.63812,Private room in townhouse,Private room,1,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Single level home"", ""Lockbox"", ""Induction stove"", ""Self check-in"", ""Dishes and silverware"", ""Bed linens"", ""Hangers"", ""Ethernet connection"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Free street parking"", ""Lock on bedroom door"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Refrigerator"", ""Smoke alarm"", ""Paid washer \u2013 In building"", ""Wifi"", ""Exterior security cameras on property""]",$106.00,2,185,2.0,185.0,t,12,27,57,114,44,19,1,31/10/2019,06/09/2024,4.93,4.82,4.84,4.95,4.86,4.73,4.7,f,1,0,1,0,0.74
1842,101470958,27/10/2016,within a day,90%,78%,2,2,"['email', 'phone']",Obergiesing,48.11014,11.59514,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Wifi \u2013 23 Mbps"", ""Blender"", ""Stove"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Freezer"", ""Room-darkening shades"", ""Private entrance"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Clothing storage: closet"", ""Paid street parking off premises"", ""Drying rack for clothing"", ""Refrigerator"", ""Smoke alarm"", ""Ceiling fan"", ""Kitchen"", ""Mini fridge"", ""Body soap"", ""Toaster""]",$189.00,3,1125,3.0,1125.0,t,17,19,47,47,51,14,0,23/09/2019,03/08/2024,4.73,4.76,4.55,4.76,4.96,4.86,4.57,f,1,1,0,0,0.84
1844,94354244,09/09/2016,within an hour,100%,91%,2,2,"['email', 'phone']",Maxvorstadt,48.14271,11.54423,Entire loft,Entire home/apt,5,2.0,2 baths,2.0,4.0,"[""Outlet covers"", ""Great stuff body soap"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Elevator"", ""Standalone high chair - always at the listing"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Iron"", ""Indoor fireplace"", ""Room-darkening shades"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Shampoo"", ""Crib - always at the listing"", ""Changing table"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Great stuff conditioner""]",$920.00,2,1125,2.0,1125.0,t,5,5,5,177,7,3,0,28/09/2019,21/06/2024,5.0,4.86,5.0,5.0,5.0,4.86,4.71,t,2,2,0,0,0.12
1849,20310645,20/08/2014,within a day,100%,50%,1,1,"['email', 'phone']",Altstadt-Lehel,48.13869636,11.58823928,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Bed linens"", ""Hangers"", ""TV"", ""Washer"", ""Microwave"", ""Iron"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""Clothing storage"", ""Extra pillows and blankets"", ""First aid kit"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$120.00,28,190,28.0,190.0,t,10,10,10,126,2,1,1,28/08/2019,01/09/2024,5.0,4.5,4.5,5.0,5.0,5.0,5.0,f,1,1,0,0,0.03
1851,138715364,05/07/2017,within an hour,100%,96%,3,4,"['email', 'phone']",Milbertshofen-Am Hart,48.20242,11.58435,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Game console: PS2"", ""Hangers"", ""Fire extinguisher"", ""Coffee maker: pour-over coffee"", ""Paid crib - available upon request"", ""Pack \u2019n play/Travel crib - available upon request"", ""Microwave"", ""EV charger"", ""Iron"", ""Garden view"", ""Free street parking"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Clothing storage: wardrobe"", ""Standalone high chair - available upon request"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Sonstiges induction stove"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Shampoo"", ""Books and reading material"", ""Refrigerator"", ""Smoke alarm"", ""42 inch TV with standard cable"", ""Board games"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Bikes""]",$196.00,1,1125,1.0,1125.0,t,2,25,33,114,107,31,4,27/11/2019,09/09/2024,4.96,4.96,4.97,4.98,4.98,4.78,4.77,f,3,3,0,0,1.82
1853,29679884,20/03/2015,within a day,52%,20%,1,1,"['email', 'phone']",Sendling,48.12114,11.54137,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,"[""Smoke alarm"", ""Hangers"", ""Hot water"", ""Heating"", ""Hair dryer"", ""Iron"", ""Essentials"", ""Kitchen"", ""Wifi""]",$124.00,2,7,2.0,7.0,t,5,5,5,5,3,2,1,17/08/2019,22/09/2024,4.67,4.67,4.67,5.0,5.0,5.0,5.0,f,1,1,0,0,0.05
1854,249602552,18/03/2019,within a few hours,100%,54%,9,9,"['email', 'phone']",Pasing-Obermenzing,48.16519,11.4868,Room in hotel,Private room,1,1.0,1 private bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""Paid dryer \u2013 In building"", ""Iron"", ""Free street parking"", ""Room-darkening shades"", ""Private entrance"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Paid parking lot on premises \u2013 4 spaces"", ""Essentials"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Safe"", ""Central air conditioning"", ""Gym"", ""Paid washer \u2013 In building"", ""Dining table"", ""Kitchen"", ""Wifi"", ""57 inch HDTV""]",$65.00,8,1125,7.8,1125.0,t,14,44,74,314,5,0,0,21/08/2021,21/01/2023,4.4,4.4,4.6,5.0,4.6,4.2,4.6,f,9,3,6,0,0.13
1856,4374298,10/12/2012,within a few hours,100%,100%,1,2,"['email', 'phone']",Schwabing-West,48.1628,11.56205,Entire rental unit,Entire home/apt,4,2.0,2 baths,1.0,2.0,"[""Smoke alarm"", ""TV"", ""Carbon monoxide alarm"", ""Washer"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Host greets you""]",$426.00,2,30,2.0,30.0,t,18,48,78,78,4,4,1,20/06/2024,23/09/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,1.22
1857,27641111,12/02/2015,within a few hours,100%,100%,1,1,"['email', 'phone']",Bogenhausen,48.14306,11.623,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""TV"", ""Fire extinguisher"", ""Iron"", ""Freezer"", ""Free street parking"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Refrigerator"", ""Baking sheet"", ""Wifi \u2013 42 Mbps"", ""Smoke alarm"", ""Central heating"", ""Private patio or balcony"", ""Kitchen"", ""Body soap"", ""Toaster""]",$137.00,3,80,3.0,80.0,t,16,23,23,72,23,5,1,23/09/2019,02/09/2024,4.96,4.96,5.0,5.0,4.96,4.83,4.78,f,1,1,0,0,0.38
1859,41532572,15/08/2015,a few days or more,0%,29%,1,1,"['email', 'phone']",Obergiesing,48.11726609,11.59051263,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Host greets you"", ""Dedicated workspace"", ""Hangers"", ""Washer"", ""Freezer"", ""Lock on bedroom door"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Essentials"", ""Dishwasher"", ""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Clothing storage: dresser"", ""Samsung refrigerator""]",$60.00,1,365,1.0,365.0,t,0,0,0,172,3,3,0,25/01/2024,21/06/2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.37
